884.5,499.2,107
0,0,128
2.3,0,95
0,0,95
620.3,226.3,107
521,173.5,147
461.6,171.5,128
489.6,150,83
961.4,208.4,192
845,398.1,627
811.6,523.4,184
796.1,508.9,228
403,645.7,100
241.6,643.2,103
385.5,483.3,247
1175.2,256.6,119
1223.4,30.6,108
1423.7,202.3,367
1395.8,682.1,144
1395.7,723.4,91
782.1,461.7,95
752,511.6,123
735.9,805.9,236
329.3,710,167
369.2,690.4,196
366.8,625.8,111
337.5,633.3,95
302.5,661.7,215
1.6,0,112
226.4,630.2,92
0,0,103
211.6,641.8,112
0,0,128
570.8,160.5,239
774.6,486.7,316
722.7,570.1,136
812,694.6,91
1233.6,248.9,192
504.2,335.6,91
425.8,597.2,187
846.4,216.2,235
745.7,261.1,119
775.1,347,323
779.3,529.1,215
485.2,178.2,171
523.9,249.9,212
567,304.1,96
761.2,254.6,256
1009.1,171.9,100
882.7,110,235
993.3,336,131
1102.6,106.7,99
0,1.8,140
480.8,160.5,91
508.6,158.1,84
267.3,140.8,140
504.8,133.2,124
497.2,101.3,171
487.3,85.6,104
502.3,158.5,204
848.7,673.6,247
878.5,689.3,147
797.2,328.5,251
1026.4,265.9,91
1271.2,200.9,111
1222,241.3,231
684.8,223.2,191
751.9,423.6,147
740.9,437.7,103
843.2,250.6,207
358.4,658.7,107
811.8,714.6,107
1490.8,920.6,83
755.1,388.7,179
756.5,644.1,135
547.7,200.2,427
791.2,381.2,87
832.8,309.5,100
961.7,227.6,139
736.3,322.3,115
834.5,551.1,148
826,583.2,84
0,1.9,215
542.2,48.5,83
504.2,66.4,84
379.8,713.6,108
381.4,558.7,127
692.4,705.2,108
818.3,647,167
879.9,596.9,80
672.9,712,99
697.3,737.8,203
777.9,832.3,291
862.2,326.4,135
842.5,517.5,179